,InfoPublYear,InfoPublMon,0,1,2,3,4,5,6,7,8,9
168,2008,8,0.702968359,0.885172546,-1.105272412,-0.829162776,-0.849599302,0.21502462,0.838227808,0.372442603,-1.551489353,-0.056335639
169,2008,9,0.689408302,0.556056678,-1.182558656,-0.946189344,-0.281308979,0.17114222,0.86591053,0.148293614,-1.800600886,0.022416523
170,2008,10,0.521748066,0.665672779,-1.794007778,-0.393963248,-0.905117571,0.102351055,1.301203966,-0.073181063,-1.617947578,-0.417350411
171,2008,11,0.484221518,0.678687692,-1.655301452,-0.688825071,-0.790178776,-0.008590336,0.840764046,0.010065615,-1.72475636,-0.645473182
172,2008,12,0.486586124,0.610784054,-1.493162632,-0.824426353,-0.472257555,0.172231883,1.243026376,0.337342083,-1.458012938,-0.453658283
173,2009,1,0.434071094,0.160429433,-1.441308737,-0.882945001,-0.779228687,0.076603152,1.17326045,0.401638299,-1.585982919,-0.324653924
174,2009,2,0.692193508,0.597262383,-1.288959503,-1.213059664,-0.746580601,0.015990971,0.83447963,0.414026439,-1.253331542,-0.530301034
175,2009,3,0.655649304,0.399370819,-1.38455987,-0.639803648,-0.549740553,0.16982767,0.754395664,0.483738154,-1.852712035,0.333187014
176,2009,4,0.534411788,0.496268004,-1.254059076,-0.925265908,-0.32423237,0.428768188,1.007665992,0.734148204,-1.826134324,0.20792146
177,2009,5,0.798879504,0.484008282,-1.113599777,-1.245203853,-1.08222878,-0.190399408,0.810490847,0.15955928,-1.475885868,-0.359147906
178,2009,6,0.656431615,0.392007679,-1.249929786,-1.055160046,-0.762976706,0.133703783,0.675130367,0.357115567,-1.950480461,-0.005733232
179,2009,7,0.626777649,0.595076919,-1.251882434,-1.134133816,-0.518174291,0.228033125,0.849355817,0.399153531,-1.805207729,0.039472159
180,2009,8,0.529669285,0.245987847,-1.238103986,-1.391859889,-0.356550038,0.098525815,1.222608447,0.236145258,-1.477597117,0.083778612
181,2009,9,0.625254869,0.174586311,-1.226221919,-0.892239392,-0.412612438,0.466982424,0.656424284,0.707858443,-2.097225189,0.448085487
182,2009,10,0.542844713,0.546919644,-1.225949645,-0.653513372,-0.604652107,0.285879761,1.009428501,0.904117525,-1.83570385,0.07839828
183,2009,11,0.626890004,-0.030665249,-1.466943264,-1.016501784,-0.456274033,0.322152823,0.799191236,0.543882906,-1.994600296,0.063283727
184,2009,12,0.764752269,0.169765607,-1.246959805,-0.668860435,-0.698105097,0.373675108,1.083822131,0.08323855,-1.864206314,-0.342277795
185,2010,1,0.384170353,0.640924215,-1.804238081,-0.330680549,-0.64802748,0.392734051,1.125395298,0.86833936,-2.083402634,-0.299870253
186,2010,2,0.915298998,0.905499935,-1.471350431,-0.787549675,-0.241278231,0.158255741,0.964659929,0.550935447,-1.69608891,-0.329435468
187,2010,3,0.554523289,0.657258809,-1.35164988,-0.913429141,-0.342315108,0.154446706,1.120167375,0.151768565,-1.302980185,-0.185293332
188,2010,4,0.36528495,0.918364406,-1.598900557,-0.536320567,-0.835995376,0.123972788,1.151593924,0.476310492,-1.375620723,-0.768098295
189,2010,5,0.572912157,0.415332109,-1.518366933,-0.273378015,-0.787242174,0.286269724,1.046004295,0.195977524,-2.179471016,-0.311300308
190,2010,6,0.625933766,0.747198343,-1.354127288,-0.7493608,-0.591974556,0.18377623,0.88748467,-0.04937527,-1.70498836,-0.122689009
191,2010,7,0.666889608,0.733905733,-1.196537018,-0.92818594,-0.884686649,0.070739329,0.922550976,-0.350099117,-1.10220778,-0.075809509
192,2010,8,0.775577366,0.46244359,-1.353601098,-0.916598558,-0.184443191,0.197866842,1.049904943,0.401478797,-1.821911216,-0.187304854
193,2010,9,0.525746584,1.110279322,-1.210932732,-0.957084,-0.524045587,0.078104421,1.21428144,0.143471137,-1.255284548,-0.526326537
194,2010,10,0.745342731,1.048443675,-1.196367502,-0.797629714,-0.752637684,-0.038200002,0.980708897,-0.193503261,-1.351702571,-0.328266889
195,2010,11,0.826729953,1.101457596,-1.304873228,-1.136275411,-0.204825684,-0.079533823,0.629767895,-0.05152835,-1.47492981,-0.604138732
196,2010,12,0.924059033,1.132653832,-1.316719413,-0.833741009,0.052573681,0.16873464,1.051870465,0.576816678,-1.375447869,-0.261651456
197,2011,1,0.899156153,1.577242494,-1.387376428,-0.683627367,-0.336057156,0.039062168,0.834186196,0.149551496,-1.457000017,-0.44465673
198,2011,2,1.035235763,1.26292038,-1.204131842,-0.895043373,-0.504554152,0.061042793,0.995643973,0.095544279,-1.273808599,-0.615836978
199,2011,3,0.639369667,0.48806721,-1.536451459,-0.842620432,-0.618212581,-0.028337944,0.760909557,0.081443138,-1.380131006,-0.413262039
200,2011,4,0.885397434,0.823190629,-1.55513227,-0.66529882,-0.417162508,-0.127105087,0.745287895,-0.141668633,-1.511587858,-0.373690069
201,2011,5,0.782708526,0.587338805,-1.398156881,-1.000335693,-0.718586326,-0.020574138,0.667650938,0.008376257,-1.656686783,-0.19892481
202,2011,6,0.669383764,0.670943439,-1.45089674,-0.902969122,-0.70915401,0.055607751,0.803003848,-0.016216386,-1.452204823,-0.362600386
203,2011,7,0.810671508,0.749472857,-1.385397077,-0.860877275,-0.470911175,0.069805525,0.807434261,0.171087861,-1.574982047,-0.369747639
204,2011,8,0.739087522,0.782945514,-1.298030019,-1.066806555,-0.735624015,-0.000715712,0.772267699,0.028303755,-1.621739626,-0.311233968
205,2011,9,0.866199017,0.689142585,-1.18127203,-1.193521738,-0.610522747,-0.030664057,0.660148203,0.137947157,-1.50929451,-0.211253479
